,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,main run,birgi_176,"anatolia_n, armenia_chl, steppe_mlba, tunisia_n, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian","tail_prob=0.05, p_value=0.05",anatolia_n,"tunisia_n, megiddo_mlba_original","armenia_chl, steppe_mlba",7,1,1,2,0,

,valid models,"feasible                                     True
Anatolia_N                                  0.673
Armenia_ChL                                 0.101
Steppe_MLBA                                 0.192
Tunisia_N                                   0.034
Megiddo_MLBA_original                           0
prob                                     0.302719
nested-p                                 0.337475
nested_p_with_Anatolia_N                        0
nested_p_with_Armenia_ChL                0.206613
nested_p_with_Steppe_MLBA              0.00450538
nested_p_with_Tunisia_N                   0.38711
nested_p_with_Megiddo_MLBA_original      0.337475
Name: 32, dtype: object","feasible                                      True
Anatolia_N                                   0.618
Armenia_ChL                                      0
Steppe_MLBA                                  0.242
Tunisia_N                                    0.012
Megiddo_MLBA_original                        0.128
prob                                      0.347873
nested-p                                  0.563898
nested_p_with_Anatolia_N               1.41401e-08
nested_p_with_Armenia_ChL                 0.563898
nested_p_with_Steppe_MLBA              2.30449e-12
nested_p_with_Tunisia_N                   0.623485
nested_p_with_Megiddo_MLBA_original       0.139633
Name: 35, dtype: object","feasible                                     True
Anatolia_N                                   0.69
Armenia_ChL                                 0.128
Steppe_MLBA                                 0.183
Tunisia_N                                       0
Megiddo_MLBA_original                           0
prob                                     0.329644
nested-p                                 0.434309
nested_p_with_Anatolia_N                        0
nested_p_with_Armenia_ChL                0.160767
nested_p_with_Steppe_MLBA              0.00539211
nested_p_with_Tunisia_N                   0.38711
nested_p_with_Megiddo_MLBA_original      0.175303
Name: 37, dtype: object","feasible                                      True
Anatolia_N                                   0.718
Armenia_ChL                                      0
Steppe_MLBA                                  0.247
Tunisia_N                                    0.035
Megiddo_MLBA_original                            0
prob                                      0.271005
nested-p                                  0.284364
nested_p_with_Anatolia_N                         0
nested_p_with_Armenia_ChL                 0.206613
nested_p_with_Steppe_MLBA              3.69504e-12
nested_p_with_Tunisia_N                   0.289918
nested_p_with_Megiddo_MLBA_original       0.139633
Name: 40, dtype: object","feasible                                      True
Anatolia_N                                   0.592
Armenia_ChL                                      0
Steppe_MLBA                                  0.238
Tunisia_N                                        0
Megiddo_MLBA_original                        0.169
prob                                      0.416911
nested-p                                  0.750512
nested_p_with_Anatolia_N               5.00323e-10
nested_p_with_Armenia_ChL                 0.388702
nested_p_with_Steppe_MLBA                        0
nested_p_with_Tunisia_N                   0.623485
nested_p_with_Megiddo_MLBA_original      0.0801923
Name: 41, dtype: object","feasible                                      True
Anatolia_N                                   0.612
Armenia_ChL                                  0.388
Steppe_MLBA                                      0
Tunisia_N                                        0
Megiddo_MLBA_original                            0
prob                                     0.0591528
nested-p                                 0.0242973
nested_p_with_Anatolia_N                         0
nested_p_with_Armenia_ChL              1.63114e-11
nested_p_with_Steppe_MLBA               0.00539211
nested_p_with_Tunisia_N                   0.515444
nested_p_with_Megiddo_MLBA_original       0.257713
Name: 47, dtype: object","feasible                                      True
Anatolia_N                                   0.735
Armenia_ChL                                      0
Steppe_MLBA                                  0.263
Tunisia_N                                        0
