,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,main run,italy_sicily_punic_i22236,"anatolia_n, armenia_chl, steppe_mlba, tunisia_n, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian","tail_prob=0.05, p_value=0.05","anatolia_n, steppe_mlba, tunisia_n","armenia_chl, megiddo_mlba_original",,4,1,0,0,0,

,valid models,"feasible                                      True
Anatolia_N                                   0.404
Armenia_ChL                                   0.04
Steppe_MLBA                                  0.266
Tunisia_N                                    0.113
Megiddo_MLBA_original                        0.176
prob                                      0.129178
nested-p                                       NaN
nested_p_with_Anatolia_N               0.000978401
nested_p_with_Armenia_ChL                 0.662917
nested_p_with_Steppe_MLBA               0.00311134
nested_p_with_Tunisia_N                 0.00769121
nested_p_with_Megiddo_MLBA_original       0.254945
Name: 713, dtype: object","feasible                                      True
Anatolia_N                                   0.485
Armenia_ChL                                  0.171
Steppe_MLBA                                   0.21
Tunisia_N                                    0.134
Megiddo_MLBA_original                            0
prob                                      0.128744
nested-p                                  0.254945
nested_p_with_Anatolia_N                         0
nested_p_with_Armenia_ChL                 0.166188
nested_p_with_Steppe_MLBA               0.00177479
nested_p_with_Tunisia_N                1.83433e-05
nested_p_with_Megiddo_MLBA_original       0.254945
Name: 714, dtype: object","feasible                                     True
Anatolia_N                                  0.402
Armenia_ChL                                     0
Steppe_MLBA                                 0.289
Tunisia_N                                   0.108
Megiddo_MLBA_original                       0.202
prob                                     0.175858
nested-p                                 0.662917
nested_p_with_Anatolia_N               0.00033604
nested_p_with_Armenia_ChL                0.662917
nested_p_with_Steppe_MLBA                       0
nested_p_with_Tunisia_N                0.00231669
nested_p_with_Megiddo_MLBA_original     0.0820915
Name: 717, dtype: object","feasible                                      True
Anatolia_N                                   0.563
Armenia_ChL                                      0
Steppe_MLBA                                    0.3
Tunisia_N                                    0.137
Megiddo_MLBA_original                            0
prob                                      0.107314
nested-p                                  0.200588
nested_p_with_Anatolia_N                         0
nested_p_with_Armenia_ChL                 0.166188
nested_p_with_Steppe_MLBA                        0
nested_p_with_Tunisia_N                3.50158e-06
nested_p_with_Megiddo_MLBA_original      0.0820915
Name: 722, dtype: object"
0,classification,Not Compact,Not Compact,Not Compact,Compact

,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,validation anatolia n in reference set,italy_sicily_punic_i22236,"armenia_chl, steppe_mlba, tunisia_n, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian,anatolia_n","tail_prob=0.05, p_value=0.05",,,,0,0,0,0,0,NO VALID MODELS

,valid models
0,classification

,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,validation armenia chl in reference set,italy_sicily_punic_i22236,"anatolia_n, steppe_mlba, tunisia_n, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian,armenia_chl","tail_prob=0.05, p_value=0.05","anatolia_n, steppe_mlba, tunisia_n",megiddo_mlba_original,,2,1,0,0,0,

,valid models,"feasible                                      True
Anatolia_N                                   0.405
Steppe_MLBA                                  0.285
Tunisia_N                                    0.111
Megiddo_MLBA_original                        0.199
prob                                      0.260788
nested-p                                       NaN
nested_p_with_Anatolia_N               0.000148195
nested_p_with_Steppe_MLBA                        0
nested_p_with_Tunisia_N                0.000874522
nested_p_with_Megiddo_MLBA_original       0.275936
Name: 345, dtype: object","feasible                                      True
Anatolia_N                                   0.563
Steppe_MLBA                                  0.296
Tunisia_N                                    0.142
Megiddo_MLBA_original                            0
prob                                      0.258251
nested-p                                  0.275936
nested_p_with_Anatolia_N                         0
nested_p_with_Steppe_MLBA                        0
nested_p_with_Tunisia_N                3.34937e-07
nested_p_with_Megiddo_MLBA_original       0.275936
Name: 346, dtype: object"
0,classification,Not Compact,Compact

,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,validation megiddo mlba original in reference set,italy_sicily_punic_i22236,"anatolia_n, armenia_chl, steppe_mlba, tunisia_n","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian,megiddo_mlba_original","tail_prob=0.05, p_value=0.05","anatolia_n, steppe_mlba, tunisia_n",armenia_chl,,2,1,0,0,0,

,valid models,"feasible                            True
Anatolia_N                         0.498
Armenia_ChL                        0.223
Steppe_MLBA                         0.17
Tunisia_N                          0.109
prob                           0.0863782
nested-p                             NaN
nested_p_with_Anatolia_N     7.35678e-12
nested_p_with_Armenia_ChL       0.134134
nested_p_with_Steppe_MLBA     0.00527986
nested_p_with_Tunisia_N      9.64477e-05
Name: 345, dtype: object","feasible                          True
Anatolia_N                       0.605
Armenia_ChL                          0
Steppe_MLBA                      0.277
Tunisia_N                        0.118
prob                         0.0659959
nested-p                      0.134134
nested_p_with_Anatolia_N             0
nested_p_with_Armenia_ChL     0.134134
nested_p_with_Steppe_MLBA            0
nested_p_with_Tunisia_N      2.275e-05
Name: 348, dtype: object"
0,classification,Not Compact,Compact

,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,validation steppe mlba in reference set,italy_sicily_punic_i22236,"anatolia_n, armenia_chl, tunisia_n, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian,steppe_mlba","tail_prob=0.05, p_value=0.05",,,,0,0,0,0,0,NO VALID MODELS

,valid models
0,classification

,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,validation tunisia n in reference set,italy_sicily_punic_i22236,"anatolia_n, armenia_chl, steppe_mlba, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian,tunisia_n","tail_prob=0.05, p_value=0.05",,,,0,0,0,0,0,NO VALID MODELS

,valid models
0,classification

,source population,anatolia_n,armenia_chl,steppe_mlba,tunisia_n,megiddo_mlba_original
0,conclusions,"main_run: Contributing
validation_armenia_chl: Contributing
validation_megiddo_mlba_original: Contributing
","main_run: Non-Contributing
validation_megiddo_mlba_original: Non-Contributing
","main_run: Contributing
validation_armenia_chl: Contributing
validation_megiddo_mlba_original: Contributing
","main_run: Contributing
validation_armenia_chl: Contributing
validation_megiddo_mlba_original: Contributing
","main_run: Non-Contributing
validation_armenia_chl: Non-Contributing
"

